Transporteur;Gare origine;Gare origine - code UIC;Gare destination;Gare destination - code UIC;Classe;Profil tarifaire;Prix minimum;Prix maximum
TGV INOUI;MACON VILLE;87725689;LYON-SAINT EXUPERY TGV;87762906;2;Tarif Réglementé;13.38;17.53
TGV INOUI;MULHOUSE VILLE;87182063;CHAMPAGNE-ARDENNE;87171926;1;Tarif Avantage;20.5;115.0
TGV INOUI;LIMOGES BENEDICTINS;87592006;AEROPORT CDG2 TGV ROISSY;87271494;1;Tarif Réglementé;114.22;114.22
TGV INOUI;MARSEILLE BLANCARDE;87751081;TOULON;87755009;2;Tarif Réglementé;13.38;17.53
TGV INOUI;PARIS AUSTERLITZ;87547000;ST NAZAIRE;87481705;1;Tarif Avantage;20.5;115.0
TGV INOUI;MASSY TGV;87393702;RUFFEC CHARENTE;87583849;1;Tarif Avantage;17.0;115.0
TGV INOUI;PLOUARET TREGOR;87473181;LANDERNEAU;87474239;2;Tarif Réglementé;13.38;17.53
TGV INOUI;PARIS MONTPARNASSE 1 ET 2;87391003;ST NAZAIRE;87481705;1;Tarif Avantage;20.5;115.0
TGV INOUI;PARIS MONTPARNASSE 3 VAUGIRARD;87391102;REDON;87471300;1;Tarif Avantage;17.0;115.0
TGV INOUI;QUIMPERLE;87476317;VANNES;87476606;2;Tarif Réglementé;13.38;17.53
TGV INOUI;PORNICHET;87481747;PARIS AUSTERLITZ;87547000;1;Tarif Avantage;20.5;115.0
TGV INOUI;RUFFEC CHARENTE;87583849;PARIS MONTPARNASSE 3 VAUGIRARD;87391102;1;Tarif Avantage;17.0;115.0
TGV INOUI;REDON;87471300;AURAY;87476200;2;Tarif Réglementé;13.38;17.53
TGV INOUI;PARIS EST;87113001;SEDAN;87172254;1;Tarif Normal;22.5;115.0
TGV INOUI;LE CROISIC;87481788;PARIS MONTPARNASSE 1 ET 2;87391003;1;Tarif Avantage;20.5;115.0
TGV INOUI;CHAMBERY CHALLES LES EAUX;87741009;MOUTIERS SALINS BRIDES L BAINS;87741728;2;Tarif Avantage;4.2;18.0
TGV INOUI;PARIS GARE DE LYON;87686006;SEDAN;87172254;1;Tarif Normal;22.5;115.0
TGV INOUI;MASSY TGV;87393702;LES SABLES D'OLONNE;87486449;1;Tarif Avantage;20.5;115.0
TGV INOUI;FORBACH;87193003;LORRAINE TGV;87142109;2;Tarif Normal;7.1;18.0
TGV INOUI;AIX EN PROVENCE TGV;87319012;MACON VILLE;87725689;1;Tarif Réglementé;115.23;115.23
TGV INOUI;PORNICHET;87481747;PARIS MONTPARNASSE 1 ET 2;87391003;1;Tarif Avantage;20.5;115.0
TGV INOUI;NIMES;87775007;ORANGE;87765107;2;Tarif Normal;7.1;18.0
TGV INOUI;AIX EN PROVENCE TGV;87319012;MOUCHARD;87718833;1;Tarif Réglementé;115.23;115.23
TGV INOUI;DIJON VILLE;87713040;METZ VILLE;87192039;1;Tarif Normal;22.5;115.0
TGV INOUI;TOULON;87755009;LES ARCS DRAGUIGNAN;87755447;2;Tarif Normal;7.1;18.0
TGV INOUI;FONTAINEBLEAU AVON;87682211;LE CREUSOT - MONTCEAU TGV;87694109;1;Tarif Réglementé;115.23;115.23
TGV INOUI;CHERBOURG;87444877;AEROPORT CDG2 TGV ROISSY;87271494;1;Tarif Normal;24.5;115.0
TGV INOUI;RENNES;87471003;REDON;87471300;2;Tarif Normal;12.9;18.0
TGV INOUI;MELUN;87682005;LE CREUSOT - MONTCEAU TGV;87694109;1;Tarif Réglementé;115.23;115.23
TGV INOUI;MACON VILLE;87725689;MARSEILLE BLANCARDE;87751081;1;Tarif Réglementé;115.23;115.23
TGV INOUI;AGEN;87586008;BEZIERS;87781005;2;Tarif Elève - Etudiant - Apprenti;18.0;18.0
TGV INOUI;LANNION;87473223;PARIS MONTPARNASSE 3 VAUGIRARD;87391102;1;Tarif Avantage;17.0;116.0
TGV INOUI;CHALON SUR SAONE;87725002;SETE;87773200;1;Tarif Avantage;17.0;116.0
TGV INOUI;AIX EN PROVENCE TGV;87319012;LYON PART DIEU;87723197;2;Tarif Elève - Etudiant - Apprenti;18.0;18.0
TGV INOUI;LUNEVILLE;87141150;PARIS GARE DE LYON;87686006;1;Tarif Avantage;17.0;116.0
TGV INOUI;LUNEVILLE;87141150;PARIS NORD;87271007;1;Tarif Avantage;17.0;116.0
TGV INOUI;AIX EN PROVENCE TGV;87319012;NANTES;87481002;2;Tarif Elève - Etudiant - Apprenti;18.0;18.0
TGV INOUI;DIJON VILLE;87713040;AIX EN PROVENCE TGV;87319012;1;Tarif Avantage;18.5;116.0
TGV INOUI;MASSY TGV;87393702;GUINGAMP;87473207;1;Tarif Avantage;17.0;116.0
TGV INOUI;ANGERS ST LAUD;87484006;LORIENT;87476002;2;Tarif Elève - Etudiant - Apprenti;18.0;18.0
TGV INOUI;DIJON VILLE;87713040;MARSEILLE ST CHARLES;87751008;1;Tarif Avantage;18.5;116.0
TGV INOUI;MASSY TGV;87393702;PLOUARET TREGOR;87473181;1;Tarif Avantage;17.0;116.0
TGV INOUI;ANGERS ST LAUD;87484006;MASSY TGV;87393702;2;Tarif Elève - Etudiant - Apprenti;18.0;18.0
TGV INOUI;MORLAIX;87474338;PARIS AUSTERLITZ;87547000;1;Tarif Avantage;18.5;116.0
TGV INOUI;PARIS AUSTERLITZ;87547000;VANNES;87476606;1;Tarif Avantage;17.0;116.0
TGV INOUI;ANNEMASSE;87745497;QUIMPER;87474098;2;Tarif Elève - Etudiant - Apprenti;18.0;18.0
TGV INOUI;MORLAIX;87474338;PARIS MONTPARNASSE 1 ET 2;87391003;1;Tarif Avantage;18.5;116.0
TGV INOUI;PARIS MONTPARNASSE 1 ET 2;87391003;VANNES;87476606;1;Tarif Avantage;17.0;116.0
TGV INOUI;AVIGNON CENTRE;87765008;CANNES;87757625;2;Tarif Elève - Etudiant - Apprenti;18.0;18.0
TGV INOUI;CANNES;87757625;LYON PART DIEU;87723197;1;Tarif Avantage;20.5;116.0
TGV INOUI;LORIENT;87476002;PARIS AUSTERLITZ;87547000;1;Tarif Avantage;18.5;116.0
TGV INOUI;BELFORT-MONTBELIARD TGV;87300822;THIONVILLE;87191007;2;Tarif Elève - Etudiant - Apprenti;18.0;18.0
TGV INOUI;BEZIERS;87781005;NEUFCHATEAU;87141291;1;Tarif Avantage;21.5;116.0
TGV INOUI;LORIENT;87476002;PARIS MONTPARNASSE 1 ET 2;87391003;1;Tarif Avantage;18.5;116.0
TGV INOUI;BEZIERS;87781005;VALENCE TGV RHONE-ALPES SUD;87763029;2;Tarif Elève - Etudiant - Apprenti;18.0;18.0
TGV INOUI;LYON PERRACHE;87722025;CHATELLERAULT;87575142;1;Tarif Avantage;21.5;116.0
TGV INOUI;LORIENT;87476002;PARIS MONTPARNASSE 3 VAUGIRARD;87391102;1;Tarif Avantage;18.5;116.0
TGV INOUI;BORDEAUX ST JEAN;87581009;FUTUROSCOPE;87324095;2;Tarif Elève - Etudiant - Apprenti;18.0;18.0
TGV INOUI;LYON PERRACHE;87722025;TOULOUSE MATABIAU;87611004;1;Tarif Avantage;21.5;116.0
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;SAVENAY;87481838;1;Tarif Avantage;20.5;116.0
TGV INOUI;BOURG ST MAURICE;87741793;QUIMPER;87474098;2;Tarif Elève - Etudiant - Apprenti;18.0;18.0
TGV INOUI;LYON-SAINT EXUPERY TGV;87762906;ANTIBES;87757674;1;Tarif Avantage;21.5;116.0
TGV INOUI;MASSY TGV;87393702;SAVENAY;87481838;1;Tarif Avantage;20.5;116.0
TGV INOUI;BREST;87474007;CHAMBERY CHALLES LES EAUX;87741009;2;Tarif Elève - Etudiant - Apprenti;18.0;18.0
TGV INOUI;VERSAILLES CHANTIERS;87393009;CARENTAN;87447243;1;Tarif Normal;22.5;116.0
TGV INOUI;ANGERS ST LAUD;87484006;LE CREUSOT - MONTCEAU TGV;87694109;1;Tarif Avantage;21.5;116.0
TGV INOUI;BREST;87474007;MOUTIERS SALINS BRIDES L BAINS;87741728;2;Tarif Elève - Etudiant - Apprenti;18.0;18.0
TGV INOUI;PAU;87672006;ST PIERRE DES CORPS;87571240;1;Tarif Réglementé;116.25;116.25
TGV INOUI;LE POULIGUEN;87481762;LILLE EUROPE;87223263;1;Tarif Avantage;21.5;116.0
TGV INOUI;BREST;87474007;ST AVRE - LA CHAMBRE;87741306;2;Tarif Elève - Etudiant - Apprenti;18.0;18.0
TGV INOUI;ST JEAN DE LUZ CIBOURE;87677120;ST PIERRE DES CORPS;87571240;1;Tarif Réglementé;116.25;116.25
TGV INOUI;LYON PART DIEU;87723197;CHATELLERAULT;87575142;1;Tarif Avantage;21.5;116.0
TGV INOUI;BREST;87474007;ST JEAN DE MAURIENNE ARVAN;87742320;2;Tarif Elève - Etudiant - Apprenti;18.0;18.0
TGV INOUI;MASSY PALAISEAU;87393579;BOURG EN BRESSE;87743005;1;Tarif Avantage;17.0;117.0
TGV INOUI;LYON PART DIEU;87723197;TOULOUSE MATABIAU;87611004;1;Tarif Avantage;21.5;116.0
TGV INOUI;BREST;87474007;VITRE;87471508;2;Tarif Elève - Etudiant - Apprenti;18.0;18.0
TGV INOUI;PARIS EST;87113001;BOURG EN BRESSE;87743005;1;Tarif Avantage;17.0;117.0
TGV INOUI;LYON PERRACHE;87722025;FUTUROSCOPE;87324095;1;Tarif Avantage;21.5;116.0
TGV INOUI;CAEN;87444000;MARNE LA VALLEE CHESSY;87111849;2;Tarif Elève - Etudiant - Apprenti;18.0;18.0
TGV INOUI;RENNES;87471003;LE CREUSOT - MONTCEAU TGV;87694109;1;Tarif Avantage;21.5;117.0
TGV INOUI;LYON PERRACHE;87722025;NICE VILLE;87756056;1;Tarif Avantage;21.5;116.0
TGV INOUI;CALAIS VILLE;87317263;PARIS GARE DE LYON;87686006;2;Tarif Elève - Etudiant - Apprenti;18.0;18.0
TGV INOUI;AIX EN PROVENCE TGV;87319012;LYON PART DIEU;87723197;1;Tarif Normal;24.5;117.0
TGV INOUI;NIORT;87485300;TGV HAUTE PICARDIE;87313882;1;Tarif Avantage;21.5;116.0
TGV INOUI;CHATEAUROUX;87597005;MARNE LA VALLEE CHESSY;87111849;2;Tarif Elève - Etudiant - Apprenti;18.0;18.0
TGV INOUI;CHALON SUR SAONE;87725002;SELESTAT;87214056;1;Tarif Normal;24.5;117.0
TGV INOUI;ST NAZAIRE;87481705;DOUAI;87345009;1;Tarif Avantage;21.5;116.0
TGV INOUI;CHERBOURG;87444877;EVREUX  NORMANDIE;87387001;2;Tarif Elève - Etudiant - Apprenti;18.0;18.0
TGV INOUI;LYON PART DIEU;87723197;MARSEILLE BLANCARDE;87751081;1;Tarif Normal;24.5;117.0
TGV INOUI;CARENTAN;87447243;MASSY PALAISEAU;87393579;1;Tarif Normal;22.5;116.0
TGV INOUI;CLUSES  74;87746370;MORLAIX;87474338;2;Tarif Elève - Etudiant - Apprenti;18.0;18.0
TGV INOUI;LYON PART DIEU;87723197;MARSEILLE ST CHARLES;87751008;1;Tarif Normal;24.5;117.0
TGV INOUI;TOULON;87755009;VALENCE TGV RHONE-ALPES SUD;87763029;1;Tarif Normal;24.5;116.0
TGV INOUI;COLMAR;87182014;CHALON SUR SAONE;87725002;2;Tarif Elève - Etudiant - Apprenti;18.0;18.0
TGV INOUI;ORTHEZ;87672253;FUTUROSCOPE;87324095;1;Tarif Normal;29.5;117.0
TGV INOUI;PAU;87672006;ANGOULEME;87583005;1;Tarif Normal;29.5;116.0
TGV INOUI;DIJON VILLE;87713040;PARIS GARE DE LYON;87686006;2;Tarif Elève - Etudiant - Apprenti;18.0;18.0
TGV INOUI;LILLE FLANDRES;87286005;TOURS;87571000;1;Tarif Avantage;32.0;117.0
TGV INOUI;DIJON VILLE;87713040;AGDE;87781278;1;Tarif Avantage;33.0;116.0
TGV INOUI;DIJON VILLE;87713040;VALENCE VILLE;87761007;2;Tarif Elève - Etudiant - Apprenti;18.0;18.0
TGV INOUI;BESANCON VIOTTE;87718007;MANTES LA JOLIE TGV;87514596;1;Tarif Réglementé;117.26;117.26
TGV INOUI;STRASBOURG;87212027;CHAMPAGNE-ARDENNE;87171926;1;Tarif Réglementé;116.25;116.25
TGV INOUI;DUNKERQUE;87281006;PARIS NORD;87271007;2;Tarif Elève - Etudiant - Apprenti;18.0;18.0
TGV INOUI;CHAMPAGNE-ARDENNE;87171926;ARRAS;87342014;1;Tarif Réglementé;117.26;117.26
